responses,correct,direction,categories,match,rot1,rot2,known,trial,block
-1,-1,0,1,1,0,2.3562,0,0,0
1,-1,1,1,0,3.927,1.5708,0,1,0
-1,1,0,1,0,2.3562,5.4978,0,2,0
-1,-1,1,1,1,4.7124,3.1416,0,3,0
1,1,1,1,1,5.4978,4.7124,0,4,0
-1,1,0,1,0,1.5708,3.1416,0,5,0
-1,1,1,1,0,3.1416,1.5708,0,6,0
-1,-1,0,1,1,2.3562,2.3562,0,7,0
-1,1,1,1,0,4.7124,0,0,8,0
-1,-1,0,1,1,0.7854,0.7854,0,9,0
-1,1,0,1,0,2.3562,3.927,0,10,0
1,1,1,1,1,4.7124,3.1416,0,11,0
-1,1,0,1,0,2.3562,3.927,0,12,0
-1,-1,1,1,1,3.927,5.4978,0,13,0
1,-1,0,1,0,0.7854,5.4978,0,14,0
-1,-1,1,1,1,3.1416,5.4978,0,15,0
-1,-1,1,1,1,5.4978,4.7124,0,16,0
-1,1,0,1,0,0,4.7124,0,17,0
1,-1,0,1,0,0.7854,3.927,0,18,0
-1,-1,1,1,1,5.4978,3.927,0,19,0
1,-1,0,1,0,0,3.1416,0,20,0
-1,-1,1,1,1,4.7124,3.927,0,21,0
-1,1,1,1,0,3.927,1.5708,0,22,0
1,1,0,1,1,0,2.3562,0,23,0
-1,-1,1,1,1,3.927,4.7124,0,24,0
1,-1,0,1,0,2.3562,5.4978,0,25,0
1,-1,0,1,0,0.7854,4.7124,0,26,0
1,1,1,1,1,3.1416,5.4978,0,27,0
-1,1,0,1,0,0.7854,5.4978,0,28,0
1,1,1,1,1,3.1416,3.927,0,29,0
-1,-1,1,1,1,3.927,3.927,0,0,1
-1,1,0,1,0,0.7854,4.7124,0,1,1
-1,1,0,1,0,0.7854,5.4978,0,2,1
-1,-1,1,1,1,4.7124,4.7124,0,3,1
-1,1,1,1,0,5.4978,0,0,4,1
-1,-1,0,1,1,2.3562,1.5708,0,5,1
-1,-1,1,1,1,4.7124,3.927,0,6,1
-1,1,0,1,0,0,4.7124,0,7,1
-1,-1,0,1,1,0,1.5708,0,8,1
1,-1,1,1,0,4.7124,1.5708,0,9,1
1,-1,0,1,0,0.7854,3.1416,0,10,1
-1,-1,1,1,1,5.4978,4.7124,0,11,1
-1,1,0,1,0,0,3.1416,0,12,1
1,1,1,1,1,4.7124,4.7124,0,13,1
-1,1,1,1,0,3.1416,1.5708,0,14,1
-1,-1,0,1,1,0.7854,0,0,15,1
-1,-1,1,1,1,5.4978,5.4978,0,16,1
-1,1,0,1,0,2.3562,3.927,0,17,1
-1,1,0,1,0,0,3.1416,0,18,1
-1,-1,1,1,1,3.1416,4.7124,0,19,1
-1,-1,1,1,1,5.4978,3.927,0,20,1
-1,1,0,1,0,0.7854,3.927,0,21,1
1,1,1,1,1,4.7124,4.7124,0,22,1
-1,1,0,1,0,2.3562,3.1416,0,23,1
1,1,0,1,1,0,0,0,24,1
-1,1,1,1,0,5.4978,2.3562,0,25,1
1,-1,0,1,0,0,5.4978,0,26,1
1,1,1,1,1,5.4978,3.1416,0,27,1
1,1,0,1,1,1.5708,2.3562,0,28,1
-1,1,1,1,0,5.4978,0.7854,0,29,1
1,-1,1,1,0,5.4978,1.5708,0,0,2
1,1,0,1,1,2.3562,0.7854,0,1,2
-1,-1,1,1,1,4.7124,3.927,0,2,2
-1,1,0,1,0,1.5708,4.7124,0,3,2
-1,-1,1,1,1,5.4978,4.7124,0,4,2
-1,1,0,1,0,2.3562,4.7124,0,5,2
1,-1,1,1,0,3.927,0,0,6,2
1,1,0,1,1,0,2.3562,0,7,2
-1,1,1,1,0,4.7124,0,0,8,2
-1,-1,0,1,1,0,1.5708,0,9,2
1,-1,1,1,0,3.1416,1.5708,0,10,2
-1,-1,0,1,1,0,0,0,11,2
-1,1,0,1,0,0,3.927,0,12,2
-1,-1,1,1,1,5.4978,3.1416,0,13,2
-1,1,1,1,0,3.927,0.7854,0,14,2
1,1,0,1,1,0,0.7854,0,15,2
-1,1,1,1,0,5.4978,0.7854,0,16,2
-1,-1,0,1,1,0,0,0,17,2
-1,1,1,1,0,3.927,2.3562,0,18,2
1,1,0,1,1,2.3562,0,0,19,2
-1,1,0,1,0,1.5708,3.927,0,20,2
-1,-1,1,1,1,3.927,4.7124,0,21,2
-1,-1,1,1,1,5.4978,3.927,0,22,2
-1,1,0,1,0,0,5.4978,0,23,2
1,1,1,1,1,4.7124,5.4978,0,24,2
-1,1,0,1,0,2.3562,3.1416,0,25,2
-1,-1,0,1,1,0,1.5708,0,26,2
-1,1,1,1,0,5.4978,0.7854,0,27,2
-1,1,0,1,0,0,5.4978,0,28,2
-1,-1,1,1,1,4.7124,5.4978,0,29,2
-1,1,0,1,0,1.5708,3.927,0,0,3
-1,-1,1,1,1,4.7124,3.1416,0,1,3
1,1,0,1,1,0,2.3562,0,2,3
1,-1,1,1,0,4.7124,1.5708,0,3,3
-1,-1,0,1,1,1.5708,0,0,4,3
1,-1,1,1,0,4.7124,1.5708,0,5,3
1,-1,1,1,0,3.1416,1.5708,0,6,3
-1,-1,0,1,1,0.7854,0,0,7,3
1,-1,1,1,0,5.4978,1.5708,0,8,3
-1,-1,0,1,1,0,0.7854,0,9,3
-1,-1,1,1,1,4.7124,3.1416,0,10,3
1,-1,0,1,0,0,5.4978,0,11,3
-1,-1,1,1,1,3.927,3.927,0,12,3
1,-1,0,1,0,2.3562,3.927,0,13,3
1,-1,1,1,0,3.1416,0.7854,0,14,3
-1,-1,0,1,1,0.7854,0.7854,0,15,3
-1,-1,0,1,1,2.3562,2.3562,0,16,3
-1,1,1,1,0,3.1416,0.7854,0,17,3
-1,1,0,1,0,0,3.1416,0,18,3
-1,-1,1,1,1,3.1416,3.1416,0,19,3
-1,-1,1,1,1,3.1416,4.7124,0,20,3
-1,1,0,1,0,1.5708,4.7124,0,21,3
-1,1,1,1,0,4.7124,2.3562,0,22,3
1,1,0,1,1,1.5708,1.5708,0,23,3
-1,1,1,1,0,5.4978,0,0,24,3
1,1,0,1,1,1.5708,2.3562,0,25,3
-1,-1,0,1,1,1.5708,0,0,26,3
-1,1,1,1,0,4.7124,0,0,27,3
-1,-1,0,1,1,0.7854,1.5708,0,28,3
-1,1,1,1,0,5.4978,2.3562,0,29,3
-1,1,1,1,0,3.1416,0.7854,0,0,4
1,1,0,1,1,2.3562,2.3562,0,1,4
1,1,0,1,1,0,0.7854,0,2,4
-1,1,1,1,0,5.4978,2.3562,0,3,4
-1,-1,0,1,1,2.3562,2.3562,0,4,4
-1,1,1,1,0,3.927,1.5708,0,5,4
-1,1,1,1,0,3.927,2.3562,0,6,4
-1,-1,0,1,1,2.3562,1.5708,0,7,4
1,1,0,1,1,1.5708,0,0,8,4
-1,1,1,1,0,5.4978,0,0,9,4
-1,1,0,1,0,1.5708,3.927,0,10,4
-1,-1,1,1,1,5.4978,5.4978,0,11,4
-1,-1,0,1,1,0.7854,1.5708,0,12,4
-1,1,1,1,0,3.1416,0,0,13,4
-1,1,1,1,0,3.1416,2.3562,0,14,4
-1,-1,0,1,1,0.7854,0,0,15,4
1,1,0,1,1,1.5708,1.5708,0,16,4
-1,1,1,1,0,5.4978,0,0,17,4
1,-1,0,1,0,0,3.1416,0,18,4
-1,-1,1,1,1,3.1416,5.4978,0,19,4
-1,1,1,1,0,3.1416,0.7854,0,20,4
1,1,0,1,1,0.7854,0,0,21,4
-1,-1,0,1,1,0.7854,0.7854,0,22,4
-1,1,1,1,0,3.927,0.7854,0,23,4
1,-1,0,1,0,2.3562,4.7124,0,24,4
1,1,1,1,1,3.1416,3.1416,0,25,4
1,-1,1,1,0,3.927,0,0,26,4
1,1,0,1,1,2.3562,1.5708,0,27,4
-1,1,1,1,0,3.927,1.5708,0,28,4
-1,-1,0,1,1,2.3562,0.7854,0,29,4
-1,1,1,1,0,5.4978,1.5708,1,0,0
1,1,0,1,1,2.3562,2.3562,1,1,0
1,-1,1,1,0,3.1416,1.5708,1,2,0
1,1,0,1,1,0.7854,1.5708,1,3,0
1,1,0,1,1,1.5708,2.3562,1,4,0
-1,1,1,1,0,3.927,2.3562,1,5,0
-1,1,1,1,0,4.7124,0.7854,1,6,0
1,1,0,1,1,2.3562,0,1,7,0
-1,1,1,1,0,4.7124,0,1,8,0
1,1,0,1,1,0.7854,0,1,9,0
1,1,0,1,1,2.3562,1.5708,1,10,0
-1,1,1,1,0,5.4978,2.3562,1,11,0
1,-1,0,1,0,1.5708,4.7124,1,12,0
-1,-1,1,1,1,3.1416,4.7124,1,13,0
-1,1,1,1,0,5.4978,1.5708,1,14,0
1,1,0,1,1,0.7854,2.3562,1,15,0
1,1,0,1,1,1.5708,2.3562,1,16,0
-1,1,1,1,0,5.4978,0,1,17,0
1,-1,0,1,0,1.5708,4.7124,1,18,0
-1,-1,1,1,1,3.1416,4.7124,1,19,0
-1,-1,1,1,1,4.7124,3.1416,1,20,0
1,-1,0,1,0,2.3562,3.1416,1,21,0
-1,1,0,1,0,1.5708,4.7124,1,22,0
1,1,1,1,1,3.1416,3.1416,1,23,0
-1,-1,0,1,1,2.3562,0,1,24,0
1,-1,1,1,0,4.7124,2.3562,1,25,0
1,-1,0,1,0,0,3.1416,1,26,0
-1,-1,1,1,1,4.7124,4.7124,1,27,0
1,-1,0,1,0,1.5708,3.1416,1,28,0
-1,-1,1,1,1,5.4978,4.7124,1,29,0
1,-1,1,1,0,3.927,0,1,0,1
1,1,0,1,1,2.3562,2.3562,1,1,1
-1,1,1,1,0,5.4978,2.3562,1,2,1
1,1,0,1,1,0.7854,1.5708,1,3,1
-1,1,1,1,0,3.927,2.3562,1,4,1
1,1,0,1,1,0,0,1,5,1
-1,1,1,1,0,4.7124,2.3562,1,6,1
1,1,0,1,1,0,0.7854,1,7,1
-1,1,1,1,0,5.4978,1.5708,1,8,1
1,1,0,1,1,0.7854,2.3562,1,9,1
1,-1,0,1,0,1.5708,5.4978,1,10,1
-1,-1,1,1,1,4.7124,3.927,1,11,1
1,-1,0,1,0,2.3562,5.4978,1,12,1
-1,-1,1,1,1,5.4978,3.1416,1,13,1
1,1,0,1,1,0,2.3562,1,14,1
1,-1,1,1,0,5.4978,2.3562,1,15,1
-1,1,1,1,0,3.927,0.7854,1,16,1
1,1,0,1,1,0.7854,0,1,17,1
-1,-1,1,1,1,3.927,3.927,1,18,1
-1,1,0,1,0,0,4.7124,1,19,1
-1,1,1,1,0,3.927,2.3562,1,20,1
1,1,0,1,1,0.7854,0,1,21,1
1,-1,1,1,0,4.7124,0.7854,1,22,1
1,1,0,1,1,1.5708,0.7854,1,23,1
-1,-1,1,1,1,5.4978,5.4978,1,24,1
1,-1,0,1,0,2.3562,5.4978,1,25,1
1,1,0,1,1,0.7854,0.7854,1,26,1
-1,1,1,1,0,3.927,1.5708,1,27,1
-1,1,1,1,0,3.1416,0.7854,1,28,1
-1,-1,0,1,1,0,0,1,29,1
